customer_key,name,gender,city,state,zip_code,country,continent,birthday
301,Lilly Harding,Female,WANDEARAH EAST,South Australia,5523,Australia,Australia,1939-07-03
325,Madison Hull,Female,MOUNT BUDD,Western Australia,6522,Australia,Australia,1979-09-27
554,Claire Ferres,Female,WINJALLOK,Victoria,3380,Australia,Australia,1947-05-26
786,Jai Poltpalingada,Male,MIDDLE RIVER,South Australia,5223,Australia,Australia,1957-09-17
1042,Aidan Pankhurst,Male,TAWONGA SOUTH,Victoria,3698,Australia,Australia,1965-11-19
1086,Hayden Clegg,Male,TEMPLERS,South Australia,5371,Australia,Australia,1954-01-20
1133,Nicholas Caffyn,Male,JUBILEE POCKET,Queensland,4802,Australia,Australia,1969-11-22
1256,Lincoln Jenks,Male,KULLOGUM,Queensland,4660,Australia,Australia,1950-03-12
1314,Isaac Israel,Male,EDITH RIVER,Northern Territory,852,Australia,Australia,1965-12-21
1568,Luke Virtue,Male,KOTTA,Victoria,3565,Australia,Australia,1975-07-25
1585,Anna Hallstrom,Female,GREEN LAKE,Victoria,3401,Australia,Australia,1990-08-12
1626,Mary Leach,Female,NEDS CORNER,Victoria,3496,Australia,Australia,1985-10-17
1642,Ruby Ambrose,Female,TARLO,New South Wales,2580,Australia,Australia,1965-03-03
1677,Dean Innes,Male,ELLESMERE,Queensland,4610,Australia,Australia,1964-11-22
1817,Laura Le Rennetel,Female,BEAUCHAMP,Victoria,3579,Australia,Australia,1986-07-10
1863,Chelsea Watkins,Female,NAMBOUR DC,Queensland,4560,Australia,Australia,1984-09-22
1945,Angus Beaurepaire,Male,GREENFIELDS,Western Australia,6210,Australia,Australia,1974-09-20
2238,Isabelle Cochran,Female,BRUCKNELL,Victoria,3268,Australia,Australia,1969-10-31
2248,Rory Spargo,Male,JUNG,Victoria,3401,Australia,Australia,1987-12-15
2435,Lilian Hall,Female,BLAKEBROOK,New South Wales,2480,Australia,Australia,1968-04-01
2469,Phoebe Kneeshaw,Female,BIDWILL,Queensland,4650,Australia,Australia,1948-05-20
2512,Matilda Hake,Female,BUNKERS HILL,Victoria,3352,Australia,Australia,1992-11-13
2604,Claudia Davison,Female,KUBIN VILLAGE,Queensland,4875,Australia,Australia,1995-04-08
2751,Nate Lowes,Male,CALLIDE,Queensland,4715,Australia,Australia,1979-08-20
2792,Zachary Perkin,Male,BAMGANIE,Victoria,3333,Australia,Australia,1976-08-25
2836,Nicholas Shand,Male,GORDONBROOK,Queensland,4610,Australia,Australia,1959-02-23
3002,Joshua Aronson,Male,SMITHTON,Tasmania,7330,Australia,Australia,2000-11-08
3006,Alica Stuckey,Female,HARTLEY,New South Wales,2790,Australia,Australia,1943-01-13
3203,Aidan Kane,Male,ARGENTON,New South Wales,2284,Australia,Australia,1998-08-18
3270,Hunter Templeton,Male,CENTRAL TILBA,New South Wales,2546,Australia,Australia,1948-05-02
3327,Alannah Le Messurier,Female,KONONGWOOTONG,Victoria,3315,Australia,Australia,1948-04-28
3410,Will Armitage,Male,BOLLON,Queensland,4488,Australia,Australia,1950-05-12
3575,Noah McFarland,Male,HOPPERS CROSSING,Victoria,3029,Australia,Australia,1942-03-04
3964,Rose Code,Female,DIXIE,Victoria,3265,Australia,Australia,1944-02-16
4004,Piper Wrixon,Female,WYALLA PLAZA,Queensland,4350,Australia,Australia,1995-06-24
4174,Rebecca Yelverton,Female,OCEAN REEF,Western Australia,6027,Australia,Australia,1990-10-05
4633,Victoria Brown,Female,KEYSLAND,Queensland,4612,Australia,Australia,1964-01-08
4734,Justin Felan,Male,PARMELIA,Western Australia,6167,Australia,Australia,1946-02-13
4808,Jamie Evenden,Male,HAYWARDS BAY,New South Wales,2530,Australia,Australia,1944-06-28
4811,Brayden Bulcock,Male,WIDGIEMOOLTHA,Western Australia,6443,Australia,Australia,1994-12-21
5097,Bella Foley,Female,Mount Pleasant,Queensland,4740,Australia,Australia,1942-11-13
5445,Jake Clibborn,Male,REEFTON,Victoria,3799,Australia,Australia,1952-09-10
5962,Aiden Dugdale,Male,SWAN BAY,New South Wales,2324,Australia,Australia,1938-11-17
6193,Lara Cassidy,Female,REGENCY PARK,South Australia,5010,Australia,Australia,1945-12-27
6242,Cody Grosse,Male,KOOMBERKINE,Western Australia,6461,Australia,Australia,1964-02-10
6258,Zac Hull,Male,SANDFORD,Victoria,3312,Australia,Australia,1976-07-03
6308,Taj Sexton,Male,KOOREH,Victoria,3478,Australia,Australia,2001-02-15
6459,Mitchell Leigh,Male,KEILOR DOWNS,Victoria,3038,Australia,Australia,1942-05-24
6794,Abby Hyam,Female,CALDER,Tasmania,7325,Australia,Australia,1971-02-06
7109,Hamish Bolton,Male,LANKEYS CREEK,New South Wales,2644,Australia,Australia,1979-11-15
7122,Lara Virtue,Female,HIGGINSVILLE,Western Australia,6443,Australia,Australia,1999-08-13
7313,Chelsea Keast,Female,KANMANTOO,South Australia,5252,Australia,Australia,1990-01-26
7398,Jonathan Thorpe,Male,COOEE BAY,Queensland,4703,Australia,Australia,1945-06-10
7493,Declan Torrens,Male,NOORINDOO,Queensland,4417,Australia,Australia,1978-07-20
7494,Ben Coventry,Male,HYDE PARK,Queensland,4812,Australia,Australia,1967-04-02
7566,William Prenzel,Male,KILLARA,Victoria,3691,Australia,Australia,1993-07-01
7664,Riley Gaffney,Male,CANOWIE,South Australia,5419,Australia,Australia,1947-03-18
